Assignment,Attendence,Book,Course,Feedback,Lecture,Manual,Page,Project,Questionnaire,Quiz,Source,Study_material,Survey,Test,URL
1350.0,10.0,10.0,620.0,0.0,400.0,150.0,10.0,0.0,10.0,2100.0,0.0,110.0,40.0,2150.0,20.0
47250.0,350.0,350.0,21700.0,0.0,14000.0,5250.0,350.0,0.0,350.0,73500.0,0.0,3850.0,1400.0,75250.0,700.0
42795.0,317.0,317.0,19654.0,0.0,12680.0,4755.0,317.0,0.0,317.0,66570.0,0.0,3487.0,1268.0,68155.0,634.0
6885.0,51.0,51.0,3162.0,0.0,2040.0,765.0,51.0,0.0,51.0,10710.0,0.0,561.0,204.0,10965.0,102.0
3458.0,0.0,28.0,924.0,0.0,518.0,140.0,0.0,0.0,0.0,2072.0,14.0,182.0,56.0,3906.0,14.0
74100.0,0.0,600.0,19800.0,0.0,11100.0,3000.0,0.0,0.0,0.0,44400.0,300.0,3900.0,1200.0,83700.0,300.0
119548.0,0.0,968.0,31944.0,0.0,17908.0,4840.0,0.0,0.0,0.0,71632.0,484.0,6292.0,1936.0,135036.0,484.0
7163.0,0.0,58.0,1914.0,0.0,1073.0,290.0,0.0,0.0,0.0,4292.0,29.0,377.0,116.0,8091.0,29.0
110.0,0.0,0.0,95.0,0.0,0.0,50.0,0.0,0.0,5.0,625.0,0.0,10.0,20.0,0.0,10.0
3982.0,0.0,0.0,3439.0,0.0,0.0,1810.0,0.0,0.0,181.0,22625.0,0.0,362.0,724.0,0.0,362.0
2502.0,45.0,27.0,603.0,0.0,288.0,117.0,0.0,0.0,9.0,1161.0,0.0,216.0,81.0,0.0,27.0
84234.0,1515.0,909.0,20301.0,0.0,9696.0,3939.0,0.0,0.0,303.0,39087.0,0.0,7272.0,2727.0,0.0,909.0
23074.0,415.0,249.0,5561.0,0.0,2656.0,1079.0,0.0,0.0,83.0,10707.0,0.0,1992.0,747.0,0.0,249.0
51986.0,935.0,561.0,12529.0,0.0,5984.0,2431.0,0.0,0.0,187.0,24123.0,0.0,4488.0,1683.0,0.0,561.0
6192.0,16.0,64.0,3520.0,0.0,1184.0,352.0,32.0,0.0,0.0,3200.0,0.0,736.0,144.0,3952.0,16.0
174924.0,452.0,1808.0,99440.0,0.0,33448.0,9944.0,904.0,0.0,0.0,90400.0,0.0,20792.0,4068.0,111644.0,452.0
